Date,District,PM2.5,PM10,NO2,SO2
15-10-16,Kolkata,43,76.75,36.46,4.21
16-10-16,Kolkata,39,66.33,33.88,3
17-10-16,Kolkata,49,88.38,36.02,5.07
18-10-16,Kolkata,46,87.32,40.84,4.49
19-10-16,Kolkata,51,94.57,39.73,4.51
20-10-16,Kolkata,54,93.52,41.12,4.75
21-10-16,Kolkata,57,115.23,42.92,4.73
22-10-16,Kolkata,63,106.95,39.91,4.87
23-10-16,Kolkata,74,153.11,47.93,5.55
24-10-16,Kolkata,85,167.7,52.24,5.8
25-10-16,Kolkata,-1,150.8,48.25,5.11
26-10-16,Kolkata,88.25,167.39,50.86,5.13
27-10-16,Kolkata,-1,135.46,48.44,5.73
28-10-16,Kolkata,-1,110.45,43.4,4.85
29-10-16,Kolkata,-1,87.78,35.49,4
30-10-16,Kolkata,-1,53.93,32.97,5.05
31-10-16,Kolkata,129.5,199.78,57.52,14.6
01-11-16,Kolkata,150.75,230.3,58.51,15.6
02-11-16,Kolkata,-1,63.38,21.42,5.03
03-11-16,Kolkata,-1,128.29,42.53,5.93
04-11-16,Kolkata,-1,98.5,37.49,4.07
05-11-16,Kolkata,-1,39.04,29.55,5.3
06-11-16,Kolkata,33.75,57.35,26.91,2.49
08-11-16,Kolkata,45,98.35,31.3,3.17
09-11-16,Kolkata,84,158.39,47.14,5.38
10-11-16,Kolkata,101,198.11,60.18,6.27
11-11-16,Kolkata,95,198.77,50.64,5.53
12-11-16,Kolkata,110,211.94,55.98,6.21
13-11-16,Kolkata,93,195.29,51.92,5.95
14-11-16,Kolkata,112,195.32,59.14,6.4
15-11-16,Kolkata,74,144.43,49.33,4.48
16-11-16,Kolkata,104,197.58,55.29,6.69
17-11-16,Kolkata,117,198.55,60.81,5.84
18-11-16,Kolkata,92,158.29,55.21,4.65
19-11-16,Kolkata,96,180.96,58.61,6.1
20-11-16,Kolkata,104,192.84,57.99,6.3
21-11-16,Kolkata,123,230.29,64.63,7.03
22-11-16,Kolkata,127,234.81,62.32,5.22
23-11-16,Kolkata,136,240.08,59.96,7.92
24-11-16,Kolkata,143,238.17,58.29,7.63
25-11-16,Kolkata,156,259.25,62.13,8.81
26-11-16,Kolkata,145,249.5,60.29,7.71
27-11-16,Kolkata,132,207.58,55.83,6.17
28-11-16,Kolkata,184,292.42,68.54,9.13
29-11-16,Kolkata,156,261.91,72.12,5.49
30-11-16,Kolkata,169,270.05,66.54,8.05
01-12-16,Kolkata,147,214.29,62.79,7.16
02-12-16,Kolkata,112,203.8,64.56,5.72
03-12-16,Kolkata,97,176.16,57.39,5.45
04-12-16,Kolkata,114,209.93,59.87,6.81
05-12-16,Kolkata,113,182.19,52.08,5.5
06-12-16,Kolkata,124,210.92,51.01,4.68
07-12-16,Kolkata,153,226.23,59.07,8.03
08-12-16,Kolkata,149,227.35,57.83,7.12
09-12-16,Kolkata,130,195.37,69.82,6.19
10-12-16,Kolkata,108,188.87,60.52,5.85
11-12-16,Kolkata,125,201.18,59.55,6.94
12-12-16,Kolkata,155,220.35,62.57,8.11
13-12-16,Kolkata,128,208.93,55.15,5.64
14-12-16,Kolkata,116,219.1,64.38,7.73
15-12-16,Kolkata,140,233.12,65.91,8.51
16-12-16,Kolkata,156,252.67,67.15,8.29
17-12-16,Kolkata,133,225.85,65.48,7.79
18-12-16,Kolkata,149,239.64,73.3,9
19-12-16,Kolkata,153,252.63,73.39,8.45
20-12-16,Kolkata,120,228.08,68.1,6.07
21-12-16,Kolkata,164,255.95,72.69,9.93
22-12-16,Kolkata,166.5,242.92,74.17,9.48
23-12-16,Kolkata,185,235.64,78.53,11.79
24-12-16,Kolkata,192,289.99,77.19,9.63
25-12-16,Kolkata,229,334.03,75.82,13.54
26-12-16,Kolkata,197,320.11,63.57,10
27-12-16,Kolkata,130,280.82,52.95,6.58
28-12-16,Kolkata,172,283.72,83.41,10.72
29-12-16,Kolkata,149,230.21,64.81,7.11
30-12-16,Kolkata,-1,259.28,66.04,8.31
31-12-16,Kolkata,140,255.18,69.69,7.85
01-01-17,Kolkata,158,283.45,75.61,9.29
02-01-17,Kolkata,-1,319.96,77.57,10.28
03-01-17,Kolkata,136,267.46,63.52,5.94
